dismantle.	=lebont, leszerel.
oppose.		=ellenáll, szembeszáll.
patent.		=szabadalom.
cessation.	=megszünés, megszüntetés.
venue.		=találkozóhely.
leisure.	=pihenõ, szabadidõ.
unveil.		=leleplez.
recoup.		=kipótol, kártalanít, levon.
rudimentary.	=elemi, alapvetõ.
spoof.		=svindli, átejtés.
likeness.	=hasonlóság.
enrollment.	=beiratkozás.
per se.		=önmagában
to be fired	=motívált
to resemble	=hasonlit
board up	=bedeszkáz
bulge		=duzzanat, kidudorodás
ragged		=durva, kopott, szakadozott
sorrow		=bánat szomorúság
to endorse	=helyesel, hozzájárul
vouch		=tanusít, állít
pace		=iram, lépés
in pursuit of	=valaminek a keresésében
nemesis		=félelmetes ellenség
precinct	=körzet, zóna, bekerített terület
to size up	=felbecsül, felmér, értékel
to inflate	=felfúj, puffaszt
pose		=színlelés
adjourn		=berekeszt, elnapol
to budge	=elmozdúl, elmozdít
conscientious	=lelkiismeretes
ingenuity	=leleményesség
muckrake	=botrányt leleplez
filthy		=piszkos
emphasis	=hangsúly
ruse		=csel, fortély
unsavory	=gusztustalan, kellemetlen
feasibly	=véghezvihetõen, megvalósíthatóan
groove		=mámor, öröm
to surpass	=felülmúl
