to constraint	=kényszerít, korlátoz
bleak		=puszta, sivár, kopár
to scour	=átkutat, átfésül
wholesome	=üdvös, egészséges
recede		=visszavonúl, visszahúzódik
lukewarm	=langymeleg
jolt		=ütés, rázás
reckon		=gondol, számol
bedevil		=kínoz, bosszant
in particular	=fõleg
deliberately	=szándékosan
defend		=megvéd
contradict	=ellentmond
ridicule	=kicsúfol, kigúnyol
to deprive somebody of something	=megfoszt valakit valamitõl
faith		=hit
threshold	=küszöb, határérték
ally		=szövetséges
initiative	=kezdeményezés
oneorus		=súlyos, fárasztó
provision	=intézkedés
to comply with	=betart, teljesít, eleget tesz
despair		=kétségbe esik, lemond valamirõl
famine		=éhínség
seize		=megragad
acknowledge	=elismer, nyugtáz
apprise		=értesít
deprive of.	=megfoszt valamitõl
splendor.	=ragyogás, fény, pompa
compel		=kényszerít
firm		=cég, biztos, határozott
plebiscite	=népszavazás
columnist	=rovatvezetõ
implication	=burkolt célzás, beleértés
by implication	=közvetve, halgatólagosan
grasp		=felfogóképesség, fogás, felfog, megért
edible		=ehetõ
expel		=kiûz, kikerget, kicsap
embark		=beszáll, hajóra száll
reharsal	=ismétlés
dire		=szörnyû, irtózatos
hideous		=förtelmes, csúnya
