dismantle.	=lebont, leszerel.
oppose.		=ellenáll, szembeszáll.
patent.		=szabadalom.
cessation.	=megszünés, megszüntetés.
venue.		=találkozóhely.
leisure.	=pihenõ, szabadidõ.
unveil.		=leleplez.
recoup.		=kipótol, kártalanít, levon.
rudimentary.	=elemi, alapvetõ.
spoof.		=svindli, átejtés.
likeness.	=hasonlóság.
enrollment.	=beiratkozás.
per se		=önmagában
to be fired	=motívált
to resemble	=hasonlit
board up	=bedeszkáz
bulge		=duzzanat, kidudorodás
ragged		=durva, kopott, szakadozott
sorrow		=bánat szomorúság
to endorse	=helyesel, hozzájárul
vouch		=tanusít, állít
pace		=iram, lépés
in pursuit of	=valaminek a keresésében
nemesis		=félelmetes ellenség
precinct	=körzet, zóna, bekerített terület
to size up	=felbecsül, felmér, értékel
to inflate	=felfúj, puffaszt
pose		=színlelés
adjourn		=berekeszt, elnapol
to budge	=elmozdúl, elmozdít
conscientious	=lelkiismeretes
ingenuity	=leleményesség
muckrake	=botrányt leleplez
filthy		=piszkos
emphasis	=hangsúly
ruse		=csel, fortély
unsavory	=gusztustalan, kellemetlen
feasibly	=véghezvihetõen, megvalósíthatóan
groove		=mámor, öröm
to surpass	=felülmúl
to constraint	=kényszerít, korlátoz
bleak		=puszta, sivár, kopár
to scour	=átkutat, átfésül
wholesome	=üdvös, egészséges
recede		=visszavonúl, visszahúzódik
lukewarm	=langymeleg
jolt		=ütés, rázás
reckon		=gondol, számol
bedevil		=kínoz, bosszant
in particular	=fõleg
deliberately	=szándékosan
defend		=megvéd
contradict	=ellentmond
ridicule	=kicsúfol, kigúnyol
to deprive somebody of something	=megfoszt valakit valamitõl
faith		=hit
threshold	=küszöb, határérték
ally		=szövetséges
initiative	=kezdeményezés
oneorus		=súlyos, fárasztó
provision	=intézkedés
to comply with	=betart, teljesít, eleget tesz
despair		=kétségbe esik, lemond valamirõl
famine		=éhínség
seize		=megragad
acknowledge	=elismer, nyugtáz
apprise		=értesít
deprive of.	=megfoszt valamitõl
splendor.	=ragyogás, fény, pompa
compel		=kényszerít
firm		=cég, biztos, határozott
plebiscite	=népszavazás
columnist	=rovatvezetõ
implication	=burkolt célzás, beleértés
by implication	=közvetve, halgatólagosan
grasp		=felfogóképesség, fogás, felfog, megért
edible		=ehetõ
expel		=kiûz, kikerget, kicsap
embark		=beszáll, hajóra száll
reharsal	=ismétlés
dire		=szörnyû, irtózatos
hideous		=förtelmes, csúnya
